year,province,district,old_district,new_district,cabinet_origin,cabinet_represents,gen_altered
2002,adana,aladag,0,0,0,0,0
2003,adana,aladag,0,0,0,0,0
2004,adana,aladag,0,0,0,0,0
2005,adana,aladag,0,0,0,0,0
2006,adana,aladag,0,0,0,0,0
2007,adana,aladag,0,0,0,0,0
2008,adana,aladag,0,0,0,0,0
2009,adana,aladag,0,0,0,0,0
2010,adana,aladag,0,0,0,0,0
2011,adana,aladag,0,0,0,0,0
2012,adana,aladag,0,0,0,0,0
2013,adana,aladag,0,0,1,1,0
2014,adana,aladag,0,0,1,1,0
2015,adana,aladag,0,0,1,1,0
2016,adana,aladag,0,0,1,1,0
2017,adana,aladag,0,0,1,1,0
2018,adana,aladag,0,0,1,1,0
2019,adana,aladag,0,0,0,0,0
2020,adana,aladag,0,0,0,0,0
2002,adana,ceyhan,0,0,0,0,0
2003,adana,ceyhan,0,0,0,0,0
2004,adana,ceyhan,0,0,0,0,0
2005,adana,ceyhan,0,0,0,0,0
2006,adana,ceyhan,0,0,0,0,0
2007,adana,ceyhan,0,0,0,0,0
2008,adana,ceyhan,0,0,0,0,0
2009,adana,ceyhan,0,0,0,0,0
2010,adana,ceyhan,0,0,0,0,0
2011,adana,ceyhan,0,0,0,0,0
2012,adana,ceyhan,0,0,0,0,0
2013,adana,ceyhan,0,0,1,1,0
2014,adana,ceyhan,0,0,1,1,0
2015,adana,ceyhan,0,0,1,1,0
2016,adana,ceyhan,0,0,1,1,0
2017,adana,ceyhan,0,0,1,1,0
2018,adana,ceyhan,0,0,1,1,0
2019,adana,ceyhan,0,0,0,0,0
2020,adana,ceyhan,0,0,0,0,0
2008,adana,cukurova,0,1,0,0,1
2009,adana,cukurova,0,1,0,0,1
2010,adana,cukurova,0,1,0,0,1
2011,adana,cukurova,0,1,0,0,0
2012,adana,cukurova,0,1,0,0,0
2013,adana,cukurova,0,1,1,1,0
2014,adana,cukurova,0,1,1,1,0
2015,adana,cukurova,0,1,1,1,0
2016,adana,cukurova,0,1,1,1,0
2017,adana,cukurova,0,1,1,1,0
2018,adana,cukurova,0,1,1,1,0
2019,adana,cukurova,0,1,0,0,0
2020,adana,cukurova,0,1,0,0,0
2002,adana,feke,0,0,0,0,0
2003,adana,feke,0,0,0,0,0
2004,adana,feke,0,0,0,0,0
2005,adana,feke,0,0,0,0,0
2006,adana,feke,0,0,0,0,0
2007,adana,feke,0,0,0,0,0
2008,adana,feke,0,0,0,0,0
2009,adana,feke,0,0,0,0,0
2010,adana,feke,0,0,0,0,0
2011,adana,feke,0,0,0,0,0
2012,adana,feke,0,0,0,0,0
2013,adana,feke,0,0,1,1,0
2014,adana,feke,0,0,1,1,0
2015,adana,feke,0,0,1,1,0
2016,adana,feke,0,0,1,1,0
2017,adana,feke,0,0,1,1,0
2018,adana,feke,0,0,1,1,0
2019,adana,feke,0,0,0,0,0
2020,adana,feke,0,0,0,0,0
2002,adana,imamoglu,0,0,0,0,0
2003,adana,imamoglu,0,0,0,0,0
2004,adana,imamoglu,0,0,0,0,0
2005,adana,imamoglu,0,0,0,0,0
2006,adana,imamoglu,0,0,0,0,0
2007,adana,imamoglu,0,0,0,0,0
2008,adana,imamoglu,0,0,0,0,0
2009,adana,imamoglu,0,0,0,0,0
2010,adana,imamoglu,0,0,0,0,0
2011,adana,imamoglu,0,0,0,0,0
2012,adana,imamoglu,0,0,0,0,0
2013,adana,imamoglu,0,0,1,1,0
2014,adana,imamoglu,0,0,1,1,0
2015,adana,imamoglu,0,0,1,1,0
2016,adana,imamoglu,0,0,1,1,0
2017,adana,imamoglu,0,0,1,1,0
2018,adana,imamoglu,0,0,1,1,0
2019,adana,imamoglu,0,0,0,0,0
2020,adana,imamoglu,0,0,0,0,0
2002,adana,karaisali,0,0,0,0,0
2003,adana,karaisali,0,0,0,0,0
2004,adana,karaisali,0,0,0,0,0
2005,adana,karaisali,0,0,0,0,0
2006,adana,karaisali,0,0,0,0,0
2007,adana,karaisali,0,0,0,0,0
2008,adana,karaisali,0,0,0,0,0
2009,adana,karaisali,0,0,0,0,0
2010,adana,karaisali,0,0,0,0,0
2011,adana,karaisali,0,0,0,0,0
2012,adana,karaisali,0,0,0,0,0
2013,adana,karaisali,0,0,1,1,0
2014,adana,karaisali,0,0,1,1,0
2015,adana,karaisali,0,0,1,1,0
2016,adana,karaisali,0,0,1,1,0
2017,adana,karaisali,0,0,1,1,0
2018,adana,karaisali,0,0,1,1,0
2019,adana,karaisali,0,0,0,0,0
2020,adana,karaisali,0,0,0,0,0
2002,adana,karatas,0,0,0,0,0
2003,adana,karatas,0,0,0,0,0
2004,adana,karatas,0,0,0,0,0
2005,adana,karatas,0,0,0,0,0
2006,adana,karatas,0,0,0,0,0
2007,adana,karatas,0,0,0,0,0
2008,adana,karatas,0,0,0,0,0
2009,adana,karatas,0,0,0,0,0
2010,adana,karatas,0,0,0,0,0
2011,adana,karatas,0,0,0,0,0
2012,adana,karatas,0,0,0,0,0
2013,adana,karatas,0,0,1,1,0
2014,adana,karatas,0,0,1,1,0
2015,adana,karatas,0,0,1,1,0
2016,adana,karatas,0,0,1,1,0
2017,adana,karatas,0,0,1,1,0
2018,adana,karatas,0,0,1,1,0
2019,adana,karatas,0,0,0,0,0
2020,adana,karatas,0,0,0,0,0
2002,adana,kozan,0,0,0,0,0
2003,adana,kozan,0,0,0,0,0
2004,adana,kozan,0,0,0,0,0
2005,adana,kozan,0,0,0,0,0
2006,adana,kozan,0,0,0,0,0
2007,adana,kozan,0,0,0,0,0
2008,adana,kozan,0,0,0,0,0
2009,adana,kozan,0,0,0,0,0
2010,adana,kozan,0,0,0,0,0
2011,adana,kozan,0,0,0,0,0
2012,adana,kozan,0,0,0,0,0
2013,adana,kozan,0,0,1,1,0
2014,adana,kozan,0,0,1,1,0
2015,adana,kozan,0,0,1,1,0
2016,adana,kozan,0,0,1,1,0
2017,adana,kozan,0,0,1,1,0
2018,adana,kozan,0,0,1,1,0
2019,adana,kozan,0,0,0,0,0
2020,adana,kozan,0,0,0,0,0
2002,adana,pozanti,0,0,0,0,0
2003,adana,pozanti,0,0,0,0,0
2004,adana,pozanti,0,0,0,0,0
2005,adana,pozanti,0,0,0,0,0
2006,adana,pozanti,0,0,0,0,0
2007,adana,pozanti,0,0,0,0,0
2008,adana,pozanti,0,0,0,0,0
2009,adana,pozanti,0,0,0,0,0
2010,adana,pozanti,0,0,0,0,0
2011,adana,pozanti,0,0,0,0,0
2012,adana,pozanti,0,0,0,0,0
2013,adana,pozanti,0,0,1,1,0
2014,adana,pozanti,0,0,1,1,0
2015,adana,pozanti,0,0,1,1,0
2016,adana,pozanti,0,0,1,1,0
2017,adana,pozanti,0,0,1,1,0
2018,adana,pozanti,0,0,1,1,0
2019,adana,pozanti,0,0,0,0,0
2020,adana,pozanti,0,0,0,0,0
2002,adana,saimbeyli,0,0,0,0,0
2003,adana,saimbeyli,0,0,0,0,0
2004,adana,saimbeyli,0,0,0,0,0
2005,adana,saimbeyli,0,0,0,0,0
2006,adana,saimbeyli,0,0,0,0,0
2007,adana,saimbeyli,0,0,0,0,0
2008,adana,saimbeyli,0,0,0,0,0
2009,adana,saimbeyli,0,0,0,0,0
