province,district,province_district,year,turnout_rate,akp,chp,mhp,sp,gen_altered
adana,cukurova,adana_cukurova,2008,77.18,32.01,29.28,19.93,1.7,1
adana,cukurova,adana_cukurova,2009,77.18,32.01,29.28,19.93,1.7,1
adana,cukurova,adana_cukurova,2010,77.18,32.01,29.28,19.93,1.7,1
adana,saricam,adana_saricam,2008,76.38,43.32,18.94,21.23,1.32,1
adana,saricam,adana_saricam,2009,76.38,43.32,18.94,21.23,1.32,1
adana,saricam,adana_saricam,2010,76.38,43.32,18.94,21.23,1.32,1
aksaray,sultanhani,aksaray_sultanhani,2017,85.7,71.5,6.4,19.2,0.3,1
ankara,kahramankazan,ankara_kahramankazan,2017,91.5,68.2,11.2,16.9,0.5,1
ankara,pursaklar,ankara_pursaklar,2008,89.15,66.455,14.49,11.075,1.27,1
ankara,pursaklar,ankara_pursaklar,2009,89.15,66.455,14.49,11.075,1.27,1
ankara,pursaklar,ankara_pursaklar,2010,89.15,66.455,14.49,11.075,1.27,1
antalya,aksu,antalya_aksu,2008,84.21,35.28,32.42,18.55,1.14,1
antalya,aksu,antalya_aksu,2009,84.21,35.28,32.42,18.55,1.14,1
antalya,aksu,antalya_aksu,2010,84.21,35.28,32.42,18.55,1.14,1
antalya,dosemealti,antalya_dosemealti,2008,84.21,35.28,32.42,18.55,1.14,1
antalya,dosemealti,antalya_dosemealti,2009,84.21,35.28,32.42,18.55,1.14,1
antalya,dosemealti,antalya_dosemealti,2010,84.21,35.28,32.42,18.55,1.14,1
antalya,kepez,antalya_kepez,2008,84.21,35.28,32.42,18.55,1.14,1
antalya,kepez,antalya_kepez,2009,84.21,35.28,32.42,18.55,1.14,1
antalya,kepez,antalya_kepez,2010,84.21,35.28,32.42,18.55,1.14,1
antalya,konyaalti,antalya_konyaalti,2008,84.21,35.28,32.42,18.55,1.14,1
antalya,konyaalti,antalya_konyaalti,2009,84.21,35.28,32.42,18.55,1.14,1
antalya,konyaalti,antalya_konyaalti,2010,84.21,35.28,32.42,18.55,1.14,1
antalya,muratpasa,antalya_muratpasa,2008,84.21,35.28,32.42,18.55,1.14,1
antalya,muratpasa,antalya_muratpasa,2009,84.21,35.28,32.42,18.55,1.14,1
antalya,muratpasa,antalya_muratpasa,2010,84.21,35.28,32.42,18.55,1.14,1
aydin,efeler,aydin_efeler,2013,88.4,34.7,35.9,20.8,0.4,1
aydin,efeler,aydin_efeler,2014,88.4,34.7,35.9,20.8,0.4,1
balikesir,altieylul,balikesir_altieylul,2013,90.3,52.8,25.8,16.5,1.1,1
balikesir,altieylul,balikesir_altieylul,2014,90.3,52.8,25.8,16.5,1.1,1
balikesir,karesi,balikesir_karesi,2013,90.3,52.8,25.8,16.5,1.1,1
balikesir,karesi,balikesir_karesi,2014,90.3,52.8,25.8,16.5,1.1,1
denizli,merkezefendi,denizli_merkezefendi,2013,91,46.5,30.6,17.9,0.4,1
denizli,merkezefendi,denizli_merkezefendi,2014,91,46.5,30.6,17.9,0.4,1
denizli,pamukkale,denizli_pamukkale,2013,91,46.5,30.6,17.9,0.4,1
denizli,pamukkale,denizli_pamukkale,2014,91,46.5,30.6,17.9,0.4,1
diyarbakir,baglar,diyarbakir_baglar,2008,66.23,37.99,1.94,1.84,0.66,1
diyarbakir,baglar,diyarbakir_baglar,2009,66.23,37.99,1.94,1.84,0.66,1
diyarbakir,baglar,diyarbakir_baglar,2010,66.23,37.99,1.94,1.84,0.66,1
diyarbakir,kayapinar,diyarbakir_kayapinar,2008,66.23,37.99,1.94,1.84,0.66,1
diyarbakir,kayapinar,diyarbakir_kayapinar,2009,66.23,37.99,1.94,1.84,0.66,1
diyarbakir,kayapinar,diyarbakir_kayapinar,2010,66.23,37.99,1.94,1.84,0.66,1
