province,district,province_district,year,turnout_rate,akp,chp,mhp,hdp,sp,gen_altered
adana,aladag,adana_aladag,2002,75.85,26.68,12.76,10.36,0.63,0.94,0
adana,aladag,adana_aladag,2003,75.85,26.68,12.76,10.36,0.63,0.94,0
adana,aladag,adana_aladag,2004,75.85,26.68,12.76,10.36,0.63,0.94,0
adana,aladag,adana_aladag,2005,75.85,26.68,12.76,10.36,0.63,0.94,0
adana,aladag,adana_aladag,2006,75.85,26.68,12.76,10.36,0.63,0.94,0
adana,aladag,adana_aladag,2007,86.45,39.44,11.73,18.77,0,1.45,0
adana,aladag,adana_aladag,2008,86.45,39.44,11.73,18.77,0,1.45,0
adana,aladag,adana_aladag,2009,86.45,39.44,11.73,18.77,0,1.45,0
adana,aladag,adana_aladag,2010,86.45,39.44,11.73,18.77,0,1.45,0
adana,aladag,adana_aladag,2011,88.9,53.3,15.8,24.2,0,1.3,0
adana,aladag,adana_aladag,2012,88.9,53.3,15.8,24.2,0,1.3,0
adana,aladag,adana_aladag,2013,88.9,53.3,15.8,24.2,0,1.3,0
adana,aladag,adana_aladag,2014,88.9,53.3,15.8,24.2,0,1.3,0
adana,aladag,adana_aladag,2015,88.4,50.1,11.5,33.5,0.5,1.7,0
adana,aladag,adana_aladag,2016,89.2,57,11.9,27.7,0.3,1,0
adana,aladag,adana_aladag,2017,89.2,57,11.9,27.7,0.3,1,0
adana,aladag,adana_aladag,2018,90.1,48.5,14.8,17.7,0.6,1.3,0
adana,aladag,adana_aladag,2019,90.1,48.5,14.8,17.7,0.6,1.3,0
adana,aladag,adana_aladag,2020,90.1,48.5,14.8,17.7,0.6,1.3,0
adana,ceyhan,adana_ceyhan,2002,73.1,17.53,18.09,14.67,11.23,1.07,0
adana,ceyhan,adana_ceyhan,2003,73.1,17.53,18.09,14.67,11.23,1.07,0
adana,ceyhan,adana_ceyhan,2004,73.1,17.53,18.09,14.67,11.23,1.07,0
adana,ceyhan,adana_ceyhan,2005,73.1,17.53,18.09,14.67,11.23,1.07,0
adana,ceyhan,adana_ceyhan,2006,73.1,17.53,18.09,14.67,11.23,1.07,0
adana,ceyhan,adana_ceyhan,2007,80.7,33,17.18,30.31,0,0.9,0
adana,ceyhan,adana_ceyhan,2008,80.7,33,17.18,30.31,0,0.9,0
adana,ceyhan,adana_ceyhan,2009,80.7,33,17.18,30.31,0,0.9,0
adana,ceyhan,adana_ceyhan,2010,80.7,33,17.18,30.31,0,0.9,0
adana,ceyhan,adana_ceyhan,2011,86.8,35.1,27.9,23.1,0,0.7,0
adana,ceyhan,adana_ceyhan,2012,86.8,35.1,27.9,23.1,0,0.7,0
adana,ceyhan,adana_ceyhan,2013,86.8,35.1,27.9,23.1,0,0.7,0
adana,ceyhan,adana_ceyhan,2014,86.8,35.1,27.9,23.1,0,0.7,0
adana,ceyhan,adana_ceyhan,2015,85.3,25.8,25.8,27.2,18.3,1.2,0
adana,ceyhan,adana_ceyhan,2016,85.8,33.1,27.7,21.8,15.4,0.5,0
adana,ceyhan,adana_ceyhan,2017,85.8,33.1,27.7,21.8,15.4,0.5,0
adana,ceyhan,adana_ceyhan,2018,85.9,30.5,23,14.2,16.6,0.8,0
adana,ceyhan,adana_ceyhan,2019,85.9,30.5,23,14.2,16.6,0.8,0
adana,ceyhan,adana_ceyhan,2020,85.9,30.5,23,14.2,16.6,0.8,0
adana,cukurova,adana_cukurova,2008,77.18,32.01,29.28,19.93,0,1.7,1
adana,cukurova,adana_cukurova,2009,77.18,32.01,29.28,19.93,0,1.7,1
adana,cukurova,adana_cukurova,2010,77.18,32.01,29.28,19.93,0,1.7,1
adana,cukurova,adana_cukurova,2011,86.6,29.3,42.8,22.9,0,0.7,0
adana,cukurova,adana_cukurova,2012,86.6,29.3,42.8,22.9,0,0.7,0
adana,cukurova,adana_cukurova,2013,86.6,29.3,42.8,22.9,0,0.7,0
adana,cukurova,adana_cukurova,2014,86.6,29.3,42.8,22.9,0,0.7,0
adana,cukurova,adana_cukurova,2015,86.7,23.1,40.8,25.8,7.3,1.5,0
adana,cukurova,adana_cukurova,2016,87.5,28.1,43.2,21.5,5.4,0.6,0
adana,cukurova,adana_cukurova,2017,87.5,28.1,43.2,21.5,5.4,0.6,0
adana,cukurova,adana_cukurova,2018,88.9,24,38,10,8.2,1.2,0
adana,cukurova,adana_cukurova,2019,88.9,24,38,10,8.2,1.2,0
adana,cukurova,adana_cukurova,2020,88.9,24,38,10,8.2,1.2,0
adana,feke,adana_feke,2002,83.62,37.6,12.84,13.48,0.78,2.79,0
adana,feke,adana_feke,2003,83.62,37.6,12.84,13.48,0.78,2.79,0
adana,feke,adana_feke,2004,83.62,37.6,12.84,13.48,0.78,2.79,0
adana,feke,adana_feke,2005,83.62,37.6,12.84,13.48,0.78,2.79,0
adana,feke,adana_feke,2006,83.62,37.6,12.84,13.48,0.78,2.79,0
adana,feke,adana_feke,2007,86.39,50.52,12.26,21.88,0,2.56,0
adana,feke,adana_feke,2008,86.39,50.52,12.26,21.88,0,2.56,0
adana,feke,adana_feke,2009,86.39,50.52,12.26,21.88,0,2.56,0
adana,feke,adana_feke,2010,86.39,50.52,12.26,21.88,0,2.56,0
adana,feke,adana_feke,2011,84.2,54.1,17,22.2,0,2.1,0
adana,feke,adana_feke,2012,84.2,54.1,17,22.2,0,2.1,0
adana,feke,adana_feke,2013,84.2,54.1,17,22.2,0,2.1,0
adana,feke,adana_feke,2014,84.2,54.1,17,22.2,0,2.1,0
adana,feke,adana_feke,2015,80.4,47.0,15.3,31.5,0.7,2.1,0
adana,feke,adana_feke,2016,82.6,54.7,15.1,25.6,0.3,1,0
adana,feke,adana_feke,2017,82.6,54.7,15.1,25.6,0.3,1,0
adana,feke,adana_feke,2018,87.4,54.7,12.5,15.3,0.4,1.2,0
adana,feke,adana_feke,2019,87.4,54.7,12.5,15.3,0.4,1.2,0
adana,feke,adana_feke,2020,87.4,54.7,12.5,15.3,0.4,1.2,0
adana,imamoglu,adana_imamoglu,2002,78.49,34.23,11.48,15.35,1.25,1.16,0
adana,imamoglu,adana_imamoglu,2003,78.49,34.23,11.48,15.35,1.25,1.16,0
adana,imamoglu,adana_imamoglu,2004,78.49,34.23,11.48,15.35,1.25,1.16,0
adana,imamoglu,adana_imamoglu,2005,78.49,34.23,11.48,15.35,1.25,1.16,0
adana,imamoglu,adana_imamoglu,2006,78.49,34.23,11.48,15.35,1.25,1.16,0
adana,imamoglu,adana_imamoglu,2007,81.44,38.95,11.37,32.47,0,1.69,0
adana,imamoglu,adana_imamoglu,2008,81.44,38.95,11.37,32.47,0,1.69,0
adana,imamoglu,adana_imamoglu,2009,81.44,38.95,11.37,32.47,0,1.69,0
adana,imamoglu,adana_imamoglu,2010,81.44,38.95,11.37,32.47,0,1.69,0
adana,imamoglu,adana_imamoglu,2011,86.6,45.4,19.3,30,0,1.4,0
adana,imamoglu,adana_imamoglu,2012,86.6,45.4,19.3,30,0,1.4,0
adana,imamoglu,adana_imamoglu,2013,86.6,45.4,19.3,30,0,1.4,0
adana,imamoglu,adana_imamoglu,2014,86.6,45.4,19.3,30,0,1.4,0
adana,imamoglu,adana_imamoglu,2015,83.9,45.9,22.2,25.5,2.4,2.2,0
adana,imamoglu,adana_imamoglu,2016,86.2,53.1,18.2,24.4,1.7,1,0
adana,imamoglu,adana_imamoglu,2017,86.2,53.1,18.2,24.4,1.7,1,0
adana,imamoglu,adana_imamoglu,2018,83.7,48.6,16.5,14.8,2.4,1.4,0
adana,imamoglu,adana_imamoglu,2019,83.7,48.6,16.5,14.8,2.4,1.4,0
adana,imamoglu,adana_imamoglu,2020,83.7,48.6,16.5,14.8,2.4,1.4,0
adana,karaisali,adana_karaisali,2002,81.69,43.2,8.47,12.9,0.79,1.73,0
adana,karaisali,adana_karaisali,2003,81.69,43.2,8.47,12.9,0.79,1.73,0
adana,karaisali,adana_karaisali,2004,81.69,43.2,8.47,12.9,0.79,1.73,0
adana,karaisali,adana_karaisali,2005,81.69,43.2,8.47,12.9,0.79,1.73,0
adana,karaisali,adana_karaisali,2006,81.69,43.2,8.47,12.9,0.79,1.73,0
adana,karaisali,adana_karaisali,2007,86.41,51.89,7.62,25.43,0,2.25,0
adana,karaisali,adana_karaisali,2008,86.41,51.89,7.62,25.43,0,2.25,0
adana,karaisali,adana_karaisali,2009,86.41,51.89,7.62,25.43,0,2.25,0
adana,karaisali,adana_karaisali,2010,86.41,51.89,7.62,25.43,0,2.25,0
adana,karaisali,adana_karaisali,2011,88.8,56,12.3,25.6,0,1.8,0
adana,karaisali,adana_karaisali,2012,88.8,56,12.3,25.6,0,1.8,0
adana,karaisali,adana_karaisali,2013,88.8,56,12.3,25.6,0,1.8,0
adana,karaisali,adana_karaisali,2014,88.8,56,12.3,25.6,0,1.8,0
adana,karaisali,adana_karaisali,2015,90.2,55.3,9.4,30.9,0.6,1.6,0
adana,karaisali,adana_karaisali,2016,91.1,59.7,9.5,27.8,0.4,0.8,0
adana,karaisali,adana_karaisali,2017,91.1,59.7,9.5,27.8,0.4,0.8,0
adana,karaisali,adana_karaisali,2018,90.6,55.7,9.1,17.2,0.6,1.3,0
adana,karaisali,adana_karaisali,2019,90.6,55.7,9.1,17.2,0.6,1.3,0
adana,karaisali,adana_karaisali,2020,90.6,55.7,9.1,17.2,0.6,1.3,0
adana,karatas,adana_karatas,2002,71.46,13.37,21.31,16.39,1.68,1.43,0
adana,karatas,adana_karatas,2003,71.46,13.37,21.31,16.39,1.68,1.43,0
adana,karatas,adana_karatas,2004,71.46,13.37,21.31,16.39,1.68,1.43,0
adana,karatas,adana_karatas,2005,71.46,13.37,21.31,16.39,1.68,1.43,0
adana,karatas,adana_karatas,2006,71.46,13.37,21.31,16.39,1.68,1.43,0
adana,karatas,adana_karatas,2007,82.94,20.69,31.89,34.94,0,1.45,0
