year,province,district,province_district,year_province_district,turnout_rate,akp,chp,mhp,hdp,sp
2002,kastamonu,abana,kastamonu_abana,2002_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2003,kastamonu,abana,kastamonu_abana,2003_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2004,kastamonu,abana,kastamonu_abana,2004_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2005,kastamonu,abana,kastamonu_abana,2005_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2006,kastamonu,abana,kastamonu_abana,2006_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2007,kastamonu,abana,kastamonu_abana,2007_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2008,kastamonu,abana,kastamonu_abana,2008_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2009,kastamonu,abana,kastamonu_abana,2009_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2010,kastamonu,abana,kastamonu_abana,2010_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2011,kastamonu,abana,kastamonu_abana,2011_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2012,kastamonu,abana,kastamonu_abana,2012_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2013,kastamonu,abana,kastamonu_abana,2013_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2014,kastamonu,abana,kastamonu_abana,2014_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2015,kastamonu,abana,kastamonu_abana,2015_kastamonu_abana,80.9,52.3,27.9,15.1,0.8,1.7
2016,kastamonu,abana,kastamonu_abana,2016_kastamonu_abana,81.4,60.7,26.7,9.1,0.3,0.6
2017,kastamonu,abana,kastamonu_abana,2017_kastamonu_abana,81.4,60.7,26.7,9.1,0.3,0.6
2018,kastamonu,abana,kastamonu_abana,2018_kastamonu_abana,86.9,54.4,25.1,10.1,0.8,0.9
2019,kastamonu,abana,kastamonu_abana,2019_kastamonu_abana,86.9,54.4,25.1,10.1,0.8,0.9
2020,kastamonu,abana,kastamonu_abana,2020_kastamonu_abana,86.9,54.4,25.1,10.1,0.8,0.9
2002,nevsehir,acigol,nevsehir_acigol,2002_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2003,nevsehir,acigol,nevsehir_acigol,2003_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2004,nevsehir,acigol,nevsehir_acigol,2004_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2005,nevsehir,acigol,nevsehir_acigol,2005_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2006,nevsehir,acigol,nevsehir_acigol,2006_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2007,nevsehir,acigol,nevsehir_acigol,2007_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2008,nevsehir,acigol,nevsehir_acigol,2008_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2009,nevsehir,acigol,nevsehir_acigol,2009_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2010,nevsehir,acigol,nevsehir_acigol,2010_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
