...1,...2,...3,...4,İlçe,...6,...7,...8,...9,...10,...11,Belediye,...13,...14,...15,...16,"Sandık
sayısı",...18,...19,"Kayıtlı seçmen
sayısı",...21,...22,...23,...24,...25,...26,...27,"Oy kullanan seçmen
sayısı ve oranı (%)",...29,...30,...31,...32,...33,...34,...35,"Gecerli oy
sayısı",...37,...38,...39,...40,...41,"Başkanlık
sayısı",...43,...44,...45,...46,...47,...48,EMEP,...50,...51,...52,...53,...54,DSP,...56,...57,...58,...59,...60,ANAP,...62,...63,...64,...65,BTP,...67,...68,...69,...70,...71,AK PARTİ,...73,...74,...75,...76,...77,BBP,...79,...80,...81,...82,...83,İP,...85,...86,...87,...88,...89,ÖDP,...91,...92,...93,...94,...95,LDP,...97,...98,...99,...100,...101,TKP,...103,...104,...105,...106,...107,DYP,...109,...110,...111,...112,...113,ATP,...115,...116,...117,...118,...119,MİLLET PARTİSİ,...121,...122,...123,...124,...125,...126,...127,CHP,...129,...130,...131,...132,...133,GENÇ PARTİ,...135,...136,...137,...138,...139,...140,YTP,...142,...143,...144,...145,...146,SHP,...148,...149,...150,...151,...152,SAADET PARTİSİ,...154,...155,...156,...157,...158,...159,...160,DP,...162,...163,...164,...165,...166,MHP,...168,...169,...170,...171,...172,BAĞIMSIZLAR,...174,...175,...176,...177,...178,...179,...180,...181
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.193,NA,NA,34.213.138,NA,NA,NA,NA,NA,NA,NA,25.066.859,NA,NA,NA,NA,NA,NA,NA,24.074.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.963,NA,NA,NA,NA,NA,468.777,NA,NA,NA,NA,NA,712.439,NA,NA,NA,NA,77.146,NA,NA,NA,NA,NA,9.674.306,NA,NA,NA,NA,NA,150.429,NA,NA,NA,NA,NA,27.475,NA,NA,NA,NA,NA,24.711,NA,NA,NA,NA,NA,395,NA,NA,NA,NA,NA,24.321,NA,NA,NA,NA,NA,2.268.599,NA,NA,NA,NA,NA,10.989,NA,NA,NA,NA,NA,11.991,NA,NA,NA,NA,NA,NA,NA,4.988.427,NA,NA,NA,NA,NA,581.891,NA,NA,NA,NA,NA,NA,53.963,NA,NA,NA,NA,NA,1.129.049,NA,NA,NA,NA,NA,1.148.920,NA,NA,NA,NA,NA,NA,NA,3.624,NA,NA,NA,NA,NA,2.441.190,NA,NA,NA,NA,NA,249.422,NA,NA,NA,NA,NA,NA,NA,NA
Türkiye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,"1,9",NA,NA,NA,NA,NA,"3,0",NA,NA,NA,NA,"0,3",NA,NA,NA,NA,NA,"40,2",NA,NA,NA,NA,NA,"0,6",NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,"0,0",NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,"9,4",NA,NA,NA,NA,NA,"0,0",NA,NA,NA,NA,NA,"0,0",NA,NA,NA,NA,NA,NA,NA,"20,7",NA,NA,NA,NA,NA,"2,4",NA,NA,NA,NA,NA,NA,"0,2",NA,NA,NA,NA,NA,"4,7",NA,NA,NA,NA,NA,"4,8",NA,NA,NA,NA,NA,NA,NA,"0,0",NA,NA,NA,NA,NA,"10,1",NA,NA,NA,NA,NA,"1,0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,247,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
Adana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.655,NA,NA,1.001.872,NA,NA,NA,NA,NA,NA,NA,708.407,NA,NA,NA,NA,NA,NA,NA,676.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.743,NA,NA,NA,NA,NA,21.017,NA,NA,NA,NA,1.897,NA,NA,NA,NA,NA,237.488,NA,NA,NA,NA,NA,1.407,NA,NA,NA,NA,NA,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,NA,NA,NA,NA,NA,36.981,NA,NA,NA,NA,NA,5.109,NA,NA,NA,NA,NA,945,NA,NA,NA,NA,NA,NA,NA,138.747,NA,NA,NA,NA,NA,28.792,NA,NA,NA,NA,NA,NA,1.095,NA,NA,NA,NA,NA,70.853,NA,NA,NA,NA,NA,11.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.371,NA,NA,NA,NA,NA,12.369,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,0",NA,NA,NA,NA,NA,"3,1",NA,NA,NA,NA,"0,3",NA,NA,NA,NA,NA,"35,1",NA,NA,NA,NA,NA,"0,2",NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,"5,5",NA,NA,NA,NA,NA,"0,8",NA,NA,NA,NA,NA,"0,1",NA,NA,NA,NA,NA,NA,NA,"20,5",NA,NA,NA,NA,NA,"4,3",NA,NA,NA,NA,NA,NA,"0,2",NA,NA,NA,NA,NA,"10,5",NA,NA,NA,NA,NA,"1,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14,8",NA,NA,NA,NA,NA,"1,8",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Seyhan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.891,NA,NA,519.468,NA,NA,NA,NA,NA,NA,NA,345.711,NA,NA,NA,NA,NA,NA,NA,330.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.121,NA,NA,NA,NA,NA,13.538,NA,NA,NA,NA,646,NA,NA,NA,NA,NA,119.964,NA,NA,NA,NA,NA,893,NA,NA,NA,NA,NA,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778,NA,NA,NA,NA,NA,743,NA,NA,NA,NA,NA,NA,NA,87.828,NA,NA,NA,NA,NA,10.503,NA,NA,NA,NA,NA,NA,733,NA,NA,NA,NA,NA,45.241,NA,NA,NA,NA,NA,5.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.026,NA,NA,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karayusuflu,NA,NA,NA,NA,12,NA,NA,3.198,NA,NA,NA,NA,NA,NA,NA,2.363,NA,NA,NA,NA,NA,NA,NA,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
