İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",CHP,AK PARTİ,DYP,MHP,GENÇ PARTİ,DSP,SAADET PARTİSİ,ANAP,BBP,"Sandık
sayısı",BTP,TKP,ATP,MİLLET PARTİSİ
Nilüfer,Bursa,94196,68579,66542,29652,26515,3634,2068,1507,1138,686,447,362,328,275,102,85,71
Osmangazi,Bursa,402110,293209,279839,51712,157252,29188,9519,10642,4793,6250,3403,1167,1367,1116,463,536,439
Yıldırım,Bursa,324027,235659,224683,25505,108257,12613,8786,5367,15741,38808,2298,1016,1136,920,335,,
Büyükorhan,Bursa,2134,1833,1713,16,352,667,30,8,9,68,555,,9,8,,,
Gemlik,Bursa,49842,35032,33666,2849,10928,6228,3282,1031,385,4361,3779,145,166,66,,,
Gürsu,Bursa,16934,13657,12983,3500,4752,1451,1223,74,93,,959,99,56,47,,,
Harmancık,Bursa,2645,2178,2091,946,705,,401,18,,16,,,10,5,,,
İnegöl,Bursa,66931,49769,48431,3915,20770,2408,9390,196,,10029,1034,322,214,152,,,94
İznik,Bursa,15505,12171,11775,3291,4405,860,833,95,79,2183,,,55,29,,,
Karacabey,Bursa,28976,23314,22529,490,7904,8188,488,72,138,469,4597,,101,81,,,
Keles,Bursa,2788,2342,2274,107,1019,852,20,1,,23,250,,11,2,,,
Kestel,Bursa,20827,16712,16022,3623,4387,4223,576,88,183,405,2298,36,69,24,,,
Mudanya,Bursa,17344,12896,12455,3511,3247,589,266,51,141,80,4154,28,60,16,,,
Mustafakemalpaşa,Bursa,33293,25877,25053,3368,8019,3081,990,255,278,289,8524,,119,61,,,
Orhaneli,Bursa,6453,5263,5073,396,1802,1164,1586,17,16,79,,,25,13,,,
Orhangazi,Bursa,29303,24553,23657,277,9635,397,2626,99,110,936,8974,,98,88,,,
Yenişehir,Bursa,17764,14377,13840,2008,7607,2871,338,129,,427,,,60,24,,,
