province,district,registered_voters,valid_votes,akp,chp,mhp,year,province_district
adana,aladag,3884,3202,1177,587,658,2004,adana_aladag
adana,ceyhan,59262,41384,5604,7573,16505,2004,adana_ceyhan
adana,feke,3722,3174,465,446,753,2004,adana_feke
adana,imamoglu,14213,11282,3885,1256,2649,2004,adana_imamoglu
adana,karaisali,3635,3068,1254,237,387,2004,adana_karaisali
adana,karatas,7527,5189,2030,1733,12,2004,adana_karatas
adana,kozan,38229,29321,12338,965,10447,2004,adana_kozan
adana,pozanti,6415,5053,2795,1106,56,2004,adana_pozanti
adana,saimbeyli,3928,3056,1280,646,40,2004,adana_saimbeyli
adana,seyhan,519468,330266,119964,87828,38026,2004,adana_seyhan
adana,tufanbeyli,5012,4229,1456,1488,35,2004,adana_tufanbeyli
adana,yumurtalik,4449,3539,1081,55,1501,2004,adana_yumurtalik
adana,yuregir,196470,130896,47952,17069,19239,2004,adana_yuregir
adiyaman,besni,16195,10498,3288,2463,66,2004,adiyaman_besni
adiyaman,celikhan,5106,4066,1632,NA,NA,2004,adiyaman_celikhan
adiyaman,gerger,1985,1431,483,7,NA,2004,adiyaman_gerger
adiyaman,golbasi,17889,12942,4383,2587,98,2004,adiyaman_golbasi
adiyaman,kahta,28969,18835,4201,121,44,2004,adiyaman_kahta
adiyaman,merkez,90750,59895,27187,6899,3060,2004,adiyaman_merkez
adiyaman,samsat,2777,2225,1159,NA,9,2004,adiyaman_samsat
adiyaman,sincik,2564,2077,1004,2,NA,2004,adiyaman_sincik
adiyaman,tut,3217,2739,869,996,NA,2004,adiyaman_tut
afyon,basmakci,4461,3765,1111,820,846,2004,afyon_basmakci
afyon,bayat,3117,2621,1052,766,25,2004,afyon_bayat
afyon,bolvadin,19043,15778,7083,248,3677,2004,afyon_bolvadin
afyon,cay,9822,7813,2991,1565,460,2004,afyon_cay
afyon,cobanlar,4833,4445,2592,379,1371,2004,afyon_cobanlar
afyon,dazkiri,3373,2820,1148,414,1058,2004,afyon_dazkiri
afyon,dinar,16407,12832,5885,2562,981,2004,afyon_dinar
afyon,emirdag,13082,9627,5791,3692,NA,2004,afyon_emirdag
afyon,evciler,2939,2508,842,378,NA,2004,afyon_evciler
afyon,hocalar,2009,1645,492,241,67,2004,afyon_hocalar
afyon,ihsaniye,1566,1319,960,NA,NA,2004,afyon_ihsaniye
afyon,iscehisar,6621,5761,1821,NA,2120,2004,afyon_iscehisar
afyon,kiziloren,1884,1603,723,NA,36,2004,afyon_kiziloren
afyon,merkez,75839,60650,30740,2950,20833,2004,afyon_merkez
afyon,sandikli,17113,13553,7257,743,4811,2004,afyon_sandikli
afyon,sinanpasa (sincanli),3347,2693,1167,842,86,2004,afyon_sinanpasa (sincanli)
afyon,suhut,8448,6926,1497,2033,1531,2004,afyon_suhut
afyon,sultandagi,4567,3683,825,827,253,2004,afyon_sultandagi
agri,diyadin,6844,4552,1082,421,40,2004,agri_diyadin
agri,dogubayazit,26237,13118,3963,NA,79,2004,agri_dogubayazit
agri,eleskirt,5375,3739,1549,NA,NA,2004,agri_eleskirt
agri,hamur,1896,1438,632,NA,NA,2004,agri_hamur
agri,merkez,39562,20678,10124,468,530,2004,agri_merkez
agri,patnos,17315,11291,1368,118,NA,2004,agri_patnos
agri,taslicay,3278,2284,838,1198,NA,2004,agri_taslicay
agri,tutak,3506,2244,493,655,NA,2004,agri_tutak
aksaray,agacoren,2420,1816,1301,NA,489,2004,aksaray_agacoren
aksaray,eskil,13140,11685,2034,1473,3756,2004,aksaray_eskil
aksaray,gulagac,3822,2911,954,NA,819,2004,aksaray_gulagac
