İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",AK PARTİ,CHP,DYP,MHP,SAADET PARTİSİ,GENÇ PARTİ,"Sandık
sayısı",EMEP,İP,DSP,BTP,ANAP,BAĞIMSIZLAR,TKP
Merkez,Çorum,113923,88283,85325,38940,28998,10856,2806,2131,551,413,357,171,155,133,100,67,60
Alaca,Çorum,13994,11088,10597,4464,171,,5550,296,32,54,,,,84,,,
Bayat,Çorum,5438,4538,4365,2436,,,1876,40,,22,,,,13,,,
Boğazkale,Çorum,1690,1390,1327,721,,580,21,,,7,,,,5,,,
Dodurga,Çorum,2435,2045,1953,791,194,767,171,24,,12,,,,6,,,
İskilip,Çorum,13827,11526,11081,6698,,,4140,81,106,57,,,,56,,,
Kargı,Çorum,4168,3619,3405,1173,911,1302,,6,,17,,,,13,,,
Laçin,Çorum,1213,1042,999,628,331,,10,20,10,6,,,,,,,
Mecitözü,Çorum,5119,4060,3925,1114,1128,804,824,,26,20,,,22,7,,,
Oğuzlar,Çorum,2810,2478,2358,838,607,,367,,,14,,9,310,18,,209,
Ortaköy,Çorum,2770,2410,2280,964,1063,,245,,,12,,,,8,,,
Osmancık,Çorum,16353,13380,12845,5579,2266,921,3820,78,93,71,,44,,44,,,
Sungurlu,Çorum,21463,16480,15908,7118,4142,1180,3220,52,62,81,59,,33,42,,,
Uğurludağ,Çorum,3060,2697,2641,1280,,1349,,12,,13,,,,,,,
