province,district,municipality,year,registered_voters,attended_voters,valid_votes,anavatan,mhp,dsp,dtp,ip,chp,bbp,tkp,dp,sp,akp,btp,hyp,independent,ldp,odp,emep,m_illet,hakpar,bdp,hdp,turkpart_i,h_udapar,dyp,hkp,hepar,yurtp,vatanpart_is_i,iy_ipart_i,anap,atp,millet_partisi,genc_parti,ytp,shp
adana,aladag,aladag,2009,3179,2986,2900,0,1674,0,0,NA,16,0,0,21,11,1171,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,aladag,akoren,2009,1028,993,967,0,442,0,0,NA,0,0,0,0,2,519,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,ceyhan,2009,65068,56396,54425,0,21473,353,7767,NA,4514,393,51,0,471,19321,82,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,buyukmangit,2009,2141,1998,1933,0,860,3,0,NA,7,0,0,0,24,1039,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,birkent,2009,1070,1020,997,0,9,2,0,NA,8,0,0,428,0,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,doruk,2009,1943,1834,1808,0,612,1,0,NA,707,0,0,0,8,480,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,hamdilli,2009,754,726,713,0,3,3,0,NA,373,0,0,0,1,333,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,kurtkulagi,2009,1154,1042,989,0,253,185,0,NA,245,0,0,0,3,159,0,0,144,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,kurtpinar,2009,1443,1363,1333,0,341,7,0,NA,286,0,0,325,3,371,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,kosreli,2009,1315,1236,1170,426,634,3,0,NA,15,0,0,0,3,89,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,mercimek,2009,2063,1828,1772,0,48,117,0,NA,636,0,0,0,14,569,0,0,388,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,ceyhan,mustafabeyli,2009,1329,1246,1205,0,246,1,0,NA,324,0,0,0,2,632,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
