province,year,registered_voters,attended_voters,valid_votes,EMEP,DSP,ANAP,BTP,AK PARTİ,BBP,İP,TKP,DYP,ATP,MİLLET PARTİSİ,CHP,GENÇ PARTİ,YTP,SHP,SAADET PARTİSİ,DP,MHP,BAĞIMSIZLAR
adana,2004,715938,484729,461381,,4248,,939,183376,1758,785,718,58885,1096,589,83119,14863,886,55537,9877,,43178,1527
ankara,2004,2269442,1703844,1636633,,14905,5986,3897,901001,8379,4313,2775,32376,,1257,20663,26477,,341231,11205,,74815,1386
antalya,2004,413294,278196,268678,,1961,695,364,92419,724,354,421,69891,,513,70119,4011,,10273,1348,,15201,384
bursa,2004,820333,598305,572398,,13012,6019,2379,30796,2725,,1062,68146,1089,774,98986,17641,,953,22058,,20171,846
diyarbakır,2004,272935,158006,152493,,533,645,349,53816,775,178,208,2299,,,1332,511,,88907,1468,,1155,317
erzurum,2004,189595,114181,11027,,240,190,212,67463,928,75,118,2033,,,1702,755,,,3914,,3264,
eskisehir,2004,363459,293856,283431,375,126854,965,456,117205,1004,385,296,23719,,,,3446,,,2223,,6128,375
gaziantep,2004,479412,325245,309061,,117,580,1088,177529,1806,683,668,1985,640,611,103342,2315,,,10839,,5391,414
istanbul,2004,6440606,4400637,4231487,,57957,51979,13312,1917577,2056,7919,8199,20641,8364,,1223856,14512,8818,15384,228615,,173274,5687
izmir,2004,1668368,1239915,1192541,,11527,10939,2323,388336,,2777,204,32708,,2134,562561,71671,,49382,6516,,48535,1092
kayseri,2004,353715,238431,232235,765,1174,,894,163141,3953,438,248,6547,,329,2158,2607,600,,8125,,21259,575
kocaeli,2004,157106,116746,112289,,796,378,381,57295,243,,170,4554,,,36176,1634,363,2325,5186,,2613,175
konya,2004,441115,345146,334946,,624,1108,684,207721,1602,336,287,2076,,,7676,1017,,2381,88463,,19975,996
mersin,2004,34044,242129,231563,,920,462,289,46209,,368,224,2338,,305,7883,3421,,52189,1357,,43033,1618
sakarya,2004,239466,181507,175701,,883,1195,504,65847,570,191,225,40684,,,10942,19541,,1528,1415,,18589,852
samsun,2004,24025,17183,163763,,705,,416,75741,788,,306,10975,,,53531,2098,,2064,767,,9469,
