year,elec_type,province,EMEP,DSP,ANAP,BTP,AKPARTİ,BBP,İP,ÖDP,LDP,TKP,DYP,ATP,MİLLETPARTİSİ,CHP,GENÇPARTİ,YTP,SHP,SAADETPARTİSİ,DP,MHP,BAĞIMSIZLAR
2004,metro,Adana,0,4248,0,939,183376,1758,785,0,0,718,58885,1096,589,83119,14863,886,55537,9877,0,43178,1527
2004,metro,Ankara,0,14905,5986,3897,901001,8379,4313,0,0,2775,32376,0,1257,206630,26477,0,341231,11205,0,74815,1386
2004,metro,Antalya,0,1961,695,364,92419,724,354,0,0,421,69891,0,513,70119,4011,0,10273,1348,0,15201,384
2004,metro,Bursa,0,13012,6019,2379,307960,2725,0,0,0,1062,68146,1089,774,98986,17641,0,9530,22058,0,20171,846
2004,metro,Diyarbakır,0,533,645,349,53816,775,178,0,0,208,2299,0,0,1332,511,0,88907,1468,0,1155,317
2004,metro,Erzurum,0,240,190,212,67463,928,75,0,0,118,2033,0,0,1702,755,0,0,3914,0,32640,0
2004,metro,Eskişehir,375,126854,965,456,117205,1004,385,0,0,296,23719,0,0,0,3446,0,0,2223,0,6128,375
2004,metro,Gaziantep,0,1170,580,1088,177529,1806,683,0,0,668,1985,640,611,103342,2315,0,0,10839,0,5391,414
2004,metro,Mersin,0,920,462,289,46209,0,368,0,0,224,2338,0,305,78830,3421,0,52189,1357,0,43033,1618
2004,metro,İstanbul,0,57957,51979,13312,1917577,20560,7919,0,0,8199,206410,8364,0,1223856,145120,8818,153840,228615,0,173274,5687
2004,metro,İzmir,0,11527,10939,2323,388336,0,2777,0,0,2040,32708,0,2134,562561,71671,0,49382,6516,0,48535,1092
2004,metro,Kayseri,765,1174,0,894,163141,3953,438,0,0,248,6547,0,329,21580,2607,600,0,8125,0,21259,575
2004,metro,Kocaeli,0,796,378,381,57295,243,0,0,0,170,4554,0,0,36176,1634,363,2325,5186,0,2613,175
2004,metro,Konya,0,624,1108,684,207721,1602,336,0,0,287,2076,0,0,7676,1017,0,2381,88463,0,19975,996
2004,metro,Sakarya,0,883,1195,504,65847,570,191,0,0,225,40684,0,0,10942,19541,0,1528,14150,0,18589,852
2004,metro,Samsun,0,705,0,416,75741,788,0,0,0,306,10975,0,0,53531,2098,0,2064,7670,0,9469,0
