year,elec_type,province,ANAP,MHP,LDP,DSP,DTP,İP,CHP,HAKPAR,BBP,BDP,MİLLETPARTİSİ,ÖDP,TKP,DP,SAADETPARTİSİ,AKPARTİ,BTP,EMEP,HYP,BAĞIMSIZLAR
2009,metro,Adana,2023,238706,490,9670,74421,0,209876,1130,6507,0,930,0,786,4964,12641,237206,1546,0,943,683
2009,metro,Ankara,6174,667871,1233,0,11353,0,763879,0,0,0,3489,0,2270,6877,29878,940230,6001,0,0,1200
2009,metro,Antalya,1421,92287,296,2220,19867,0,214325,0,0,0,0,1039,710,4900,9301,176331,1149,0,0,206
2009,metro,Bursa,6980,132652,875,13192,0,0,289750,0,12155,0,0,0,1974,66083,32298,506825,5895,0,0,6028
2009,metro,Diyarbakır,0,962,0,841,227472,394,2011,1616,0,0,0,0,342,1752,2038,111134,668,0,0,0
2009,metro,Erzurum,0,60477,0,322,2215,0,1993,0,0,0,0,0,184,905,10325,101524,435,0,0,0
2009,metro,Eskişehir,0,21408,0,195035,0,0,10598,0,0,0,0,0,448,3957,6153,140478,463,0,0,0
2009,metro,Gaziantep,0,28612,0,2050,32268,0,172101,0,7533,0,0,0,610,1767,18875,304014,1577,0,0,490
2009,metro,Mersin,0,108775,0,16128,79483,0,135632,718,0,0,520,0,562,1107,2501,92715,748,0,0,376
2009,metro,İstanbul,21960,348269,3025,90399,314229,0,2568710,9502,79401,0,4961,0,7709,33089,337014,3105555,17071,0,0,5541
2009,metro,İzmir,6569,138056,1420,30659,0,0,1107562,0,0,0,0,0,5483,14169,18428,599395,5992,0,5759,38867
2009,metro,Kayseri,2018,107637,392,3496,0,0,40862,0,0,0,901,0,681,4509,21352,291333,2979,801,0,272
2009,metro,Kocaeli,0,55515,0,5641,14308,0,272389,0,8034,0,0,0,1471,18354,73952,407170,1106,0,0,0
2009,metro,Konya,0,56796,191,4043,4560,0,16687,0,0,0,604,0,447,1664,77240,356570,1923,0,474,0
2009,metro,Sakarya,1213,129313,239,1378,0,0,26961,0,2586,0,0,0,392,5608,25337,157626,873,0,0,349
2009,metro,Samsun,0,61703,357,6801,0,0,63548,0,0,0,0,0,743,9645,11692,144174,894,0,0,248
