year,elec_type,province,SAADETPARTİSİ,BTP,TKP,VATANPARTİSİ,CHP,AKPARTİ,DP,MHP,İYİPARTİ,HDP,DSP,BAĞIMSIZLAR
2019,metro,Adana,23214,3161,2529,5764,656704,0,0,523751,0,0,6298,1684
2019,metro,Ankara,34182,5576,4629,6238,1662209,1538410,0,0,0,0,9706,2698
2019,metro,Antalya,13601,2071,2135,3711,714302,652882,8073,0,0,0,13477,759
2019,metro,Aydın,5641,1302,1836,2890,368791,299056,0,0,0,0,4188,0
2019,metro,Balıkesir,7810,2144,1381,3425,0,375539,12654,0,365333,10197,5880,1069
2019,metro,Bursa,32589,3545,1451,4024,851377,898430,11747,0,0,0,5975,1255
2019,metro,Denizli,4955,1768,1015,2427,0,321932,6985,0,279654,8833,4393,4346
2019,metro,Diyarbakır,15789,1425,909,521,14270,241633,0,0,0,490571,4378,10097
2019,metro,Erzurum,8668,1902,629,620,9331,241789,0,0,97945,23167,866,0
2019,metro,Eskişehir,6579,872,602,1162,285688,246582,0,0,0,0,4296,488
2019,metro,Gaziantep,17359,4125,2345,3179,0,494906,0,0,150831,0,240313,4022
2019,metro,Hatay,7547,1140,818,1829,490431,380455,0,0,0,0,6213,424
2019,metro,Mersin,7202,1939,2187,3998,477020,0,127168,433669,0,0,4719,0
2019,metro,İstanbul,47832,0,0,13962,4742082,3936068,0,0,0,0,0,6622
2019,metro,İzmir,30180,3956,8061,7963,1550192,1032359,11209,0,0,0,20509,2868
2019,metro,Kayseri,21688,4031,1361,2380,0,500621,0,0,248947,4542,3218,2962
2019,metro,Kocaeli,54640,4692,3470,2827,0,610507,6143,0,359060,41870,10876,4234
2019,metro,Konya,50099,8623,3690,3423,0,859115,5647,0,245997,26589,6486,8368
2019,metro,Malatya,23709,1482,625,618,103690,305588,1651,0,0,6555,1345,1029
2019,metro,Manisa,10098,4290,2888,3853,0,0,12014,460671,332338,37919,6626,2324
2019,metro,Kahramanmaraş,13145,5412,888,1857,170407,422222,0,0,0,0,7628,3026
2019,metro,Mardin,4258,615,399,154,6781,143060,1102,0,4078,208854,760,1273
2019,metro,Muğla,3335,18753,1406,2100,217476,171621,22978,0,0,0,5148,161045
2019,metro,Ordu,124114,1473,903,1037,73468,270377,1337,0,0,0,1788,407
2019,metro,Sakarya,23108,4245,1137,1392,0,386700,3346,0,164246,6147,2621,1593
2019,metro,Samsun,12323,13437,1524,1729,0,379150,5191,0,213558,0,4592,168667
2019,metro,Tekirdağ,6181,921,1044,1156,318412,272581,2258,0,0,11699,7008,518
2019,metro,Trabzon,15502,2821,950,1335,0,307167,3747,0,140421,0,2117,1391
2019,metro,Şanlıurfa,308510,6284,2614,3327,0,516202,0,0,0,0,7843,4036
2019,metro,Van,9081,680,727,447,9191,196040,0,0,5232,260609,1898,0
