date,cb_rediscount,cb_advance,int_needloan,bist_volume,usd_buy,usd_sell,eur_buy,eur_sell,cb_assets,cb_trbonds,cb_liabilities,cb_gold,cb_fx,cpi03_all,cpi03_food,cpi03_health,cpi03_educ,cpi95_all,debt_foreign_musd,debt_domestic_ktry,foreign_investment_musd,gov_rev,gov_rev_tax,gov_rev_directtax,gov_rev_indirecttax,centralgov_rev,centralgov_exp,oecd_cli,oecd_cli_cycl,oecd_cli_dtd,gdp,ppi_03
2002-Q1,60.000,70.000,70.294,"421,388.658",1.356,1.363,1.189,1.195,"55,308,035.820","30,458,301.197","55,308,035.820","1,032.000","19,944.154",,,,,"3,286.833","113,902.000","120,299,042.000",,,,,,,,121.203,99.520,6.153,"69,685,582.583",72.78
2002-Q2,55.000,64.000,55.348,"289,081.639",1.405,1.411,1.290,1.296,"59,380,060.688","28,988,413.094","59,380,060.688","1,032.000","22,096.077",,,,,"3,490.667","123,364.000","126,830,490.000",,,,,,,,122.123,99.803,6.380,"84,198,133.017",76.14
2002-Q3,55.000,64.000,55.294,"314,716.204",1.643,1.651,1.616,1.624,"70,836,848.994","29,323,123.585","70,836,848.994","1,032.000","24,271.462",,,,,"3,574.300","124,952.000","140,290,726.000",,,,,,,,121.660,98.940,4.157,"102,394,115.551",80.83
2002-Q4,55.000,64.000,52.256,"667,623.410",1.612,1.620,1.612,1.620,"72,772,166.776","30,303,562.556","72,772,166.776","1,032.000","25,852.615",,,,,"3,979.100","129,606.000","149,869,691.000",,,,,,,,124.177,100.523,5.363,"105,831,816.474",87.35
2003-Q1,55.000,64.000,49.625,"382,011.376",1.647,1.655,1.766,1.774,"77,435,843.341","31,558,046.305","77,435,843.341","1,279.000","27,770.769",96.373,96.933,95.483,92.903,"4,129.167","130,954.000","162,557,876.000",,,,,,,,123.227,99.327,1.670,"97,161,196.431",97.33
2003-Q2,50.000,57.000,52.954,"502,601.209",1.512,1.520,1.713,1.721,"72,358,116.759","30,777,809.889","72,358,116.759","1,279.000","27,421.846",99.750,102.247,100.547,92.993,"4,533.600","135,063.000","175,269,922.000",,,,,,,,124.287,99.800,1.767,"112,310,401.580",101.09
2003-Q3,50.000,57.000,45.630,"457,656.575",1.389,1.396,1.562,1.570,"70,361,282.592","27,991,221.045","70,361,282.592","1,279.000","29,873.846",100.487,98.547,103.013,102.813,"4,484.033","138,746.000","178,711,655.000",,,,,,,,125.527,100.470,3.173,"131,066,306.100",98.93
2003-Q4,43.000,48.000,35.460,"1,061,293.158",1.438,1.445,1.712,1.720,"77,196,271.055","28,080,880.048","77,196,271.055","1,279.000","32,805.231",103.393,102.277,100.957,111.293,"4,735.333","144,175.000","194,386,700.000",,,,,,,,127.863,102.087,2.967,"131,633,871.196",100.8
2004-Q1,43.000,48.000,31.949,"1,003,805.932",1.328,1.334,1.661,1.669,"73,823,184.577","27,107,449.148","73,823,184.577","1,558.000","33,340.538",105.507,106.270,104.983,111.703,"4,795.033","144,813.000","203,707,545.000",,,,,,,,127.647,101.743,3.587,"119,544,458.521",106.35
2004-Q2,38.000,42.000,30.468,"654,305.574",1.447,1.454,1.744,1.753,"76,303,305.402","26,180,176.635","76,303,305.402","1,580.000","33,045.077",107.150,106.227,105.760,111.867,"4,995.867","147,369.000","209,118,695.000",,,,,,,,127.100,101.227,2.263,"138,988,008.568",110.86
2004-Q3,38.000,42.000,32.840,"763,787.130",1.471,1.478,1.798,1.807,"76,580,212.842","24,530,175.815","76,580,212.842","1,474.000","33,181.077",108.610,104.967,109.613,122.587,"4,880.233","153,121.000","217,571,356.000",,,,,,,,127.170,101.283,1.307,"161,374,936.375",109.64
2004-Q4,38.000,42.000,31.160,"939,642.319",1.439,1.446,1.863,1.872,"77,412,847.010","23,611,903.937","77,412,847.010","1,551.429","35,058.429",113.130,109.797,111.857,131.167,"5,114.433","161,157.000","224,482,922.000",,,,,,,,127.800,101.843,-0.047,"162,945,395.353",115.48
2005-Q1,32.000,35.000,27.372,"1,168,591.711",1.320,1.327,1.734,1.742,"74,175,126.450","22,473,077.639","74,175,126.429","1,635.000","36,378.083",114.603,112.633,112.867,130.453,"5,169.700","160,338.000","232,489,000.000",486.000,,,,,,,125.733,100.307,-1.487,"142,588,339.875",115.63
2005-Q2,28.000,30.000,25.011,"749,257.840",1.358,1.364,1.712,1.721,"75,200,740.719","21,056,822.984","75,200,740.672","1,596.000","37,166.769",116.377,111.337,114.277,131.783,"5,344.867","162,715.000","234,799,000.000",620.000,,,,,,,124.043,99.070,-2.400,"163,510,888.172",119.5
2005-Q3,28.000,30.000,24.347,"1,097,846.220",1.335,1.341,1.629,1.637,"78,536,397.092","19,571,556.415","78,536,397.092","1,640.714","41,115.857",117.200,109.283,111.777,137.760,"5,347.533","166,497.000","243,207,000.000","2,281.000",,,,,,,124.483,99.533,-2.110,"186,658,293.147",121.38
2005-Q4,23.000,25.000,21.934,"1,240,732.766",1.350,1.357,1.605,1.613,"84,937,062.873","19,358,976.254","84,937,062.873","1,778.385","46,099.769",121.747,115.060,111.643,140.623,"5,684.067","170,774.000","244,782,000.000","5,148.000",,,,,,,125.833,100.703,-1.527,"187,518,326.112",122.25
2006-Q1,23.000,25.000,21.114,"1,637,257.730",1.326,1.332,1.594,1.601,"95,145,946.033","19,434,755.475","95,145,946.016","1,935.077","54,470.385",123.863,120.017,113.110,140.780,"5,739.333","185,470.000","246,360,000.000",364.000,"37,788,344.000","31,251,069.000","10,402,832.000","20,848,237.000","12,775,074.333","13,124,970.667",125.103,100.173,-0.500,"162,557,039.879",123.83
2006-Q2,23.000,25.000,20.582,"1,440,806.570",1.449,1.456,1.823,1.831,"105,366,649.516","19,122,930.469","105,366,649.500","2,182.923","58,959.308",127.557,122.217,116.020,142.260,"5,944.700","191,539.000","249,085,000.000","7,280.000","44,348,342.000","34,723,974.000","10,237,230.000","24,486,744.000","15,232,038.000","14,074,551.000",125.117,100.200,0.863,"194,686,248.321",130.63
