year,province,district,population
2020,Adana,Aladağ,15998
2020,Adana,Ceyhan,161159
2020,Adana,Çukurova,386634
2020,Adana,Feke,16536
2020,Adana,İmamoğlu,27784
2020,Adana,Karaisalı,22065
2020,Adana,Karataş,23667
2020,Adana,Kozan,132974
2020,Adana,Pozantı,19930
2020,Adana,Saimbeyli,14560
2020,Adana,Sarıçam,194019
2020,Adana,Seyhan,796131
2020,Adana,Tufanbeyli,16966
2020,Adana,Yumurtalık,18203
2020,Adana,Yüreğir,412092
2020,Adıyaman,Besni,77732
2020,Adıyaman,Çelikhan,15530
2020,Adıyaman,Gerger,17234
2020,Adıyaman,Gölbaşı,50204
2020,Adıyaman,Kahta,126636
2020,Adıyaman,Merkez,310644
2020,Adıyaman,Samsat,7803
2020,Adıyaman,Sincik,16734
2020,Adıyaman,Tut,9942
2020,Afyonkarahisar,Başmakçı,9617
2020,Afyonkarahisar,Bayat,7573
2020,Afyonkarahisar,Bolvadin,45133
2020,Afyonkarahisar,Çay,31174
2020,Afyonkarahisar,Çobanlar,14355
2020,Afyonkarahisar,Dazkırı,11397
2020,Afyonkarahisar,Dinar,47516
2020,Afyonkarahisar,Emirdağ,39518
2020,Afyonkarahisar,Evciler,7311
2020,Afyonkarahisar,Hocalar,9245
2020,Afyonkarahisar,İhsaniye,27807
2020,Afyonkarahisar,İscehisar,25043
2020,Afyonkarahisar,Kızılören,2269
2020,Afyonkarahisar,Merkez,313063
2020,Afyonkarahisar,Sandıklı,55252
2020,Afyonkarahisar,Sinanpaşa,39432
2020,Afyonkarahisar,Şuhut,36690
2020,Afyonkarahisar,Sultandağı,14517
2020,Ağrı,Diyadin,41789
2020,Ağrı,Doğubayazıt,119941
2020,Ağrı,Eleşkirt,32316
2020,Ağrı,Hamur,17908
2020,Ağrı,Merkez,150263
2020,Ağrı,Patnos,123203
2020,Ağrı,Taşlıçay,20028
2020,Ağrı,Tutak,29987
2020,Aksaray,Ağaçören,7827
2020,Aksaray,Eskil,27238
2020,Aksaray,Gülağaç,19644
2020,Aksaray,Güzelyurt,10967
2020,Aksaray,Merkez,308393
