year,province,district,province_district,year_province_district,population
2002,adana,aladag,adana_aladag,2002_adana_aladag,21302
2003,adana,aladag,adana_aladag,2003_adana_aladag,20543
2004,adana,aladag,adana_aladag,2004_adana_aladag,19783
2005,adana,aladag,adana_aladag,2005_adana_aladag,19024
2006,adana,aladag,adana_aladag,2006_adana_aladag,18265
2007,adana,aladag,adana_aladag,2007_adana_aladag,17506
2008,adana,aladag,adana_aladag,2008_adana_aladag,18249
2009,adana,aladag,adana_aladag,2009_adana_aladag,17494
2010,adana,aladag,adana_aladag,2010_adana_aladag,17169
2011,adana,aladag,adana_aladag,2011_adana_aladag,17074
2012,adana,aladag,adana_aladag,2012_adana_aladag,16951
2013,adana,aladag,adana_aladag,2013_adana_aladag,17221
2014,adana,aladag,adana_aladag,2014_adana_aladag,17113
2015,adana,aladag,adana_aladag,2015_adana_aladag,16823
2016,adana,aladag,adana_aladag,2016_adana_aladag,16333
2017,adana,aladag,adana_aladag,2017_adana_aladag,15896
2018,adana,aladag,adana_aladag,2018_adana_aladag,16653
2019,adana,aladag,adana_aladag,2019_adana_aladag,16121
2020,adana,aladag,adana_aladag,2020_adana_aladag,15589
2002,adana,ceyhan,adana_ceyhan,2002_adana_ceyhan,171012
2003,adana,ceyhan,adana_ceyhan,2003_adana_ceyhan,168501
2004,adana,ceyhan,adana_ceyhan,2004_adana_ceyhan,165991
2005,adana,ceyhan,adana_ceyhan,2005_adana_ceyhan,163480
2006,adana,ceyhan,adana_ceyhan,2006_adana_ceyhan,160970
2007,adana,ceyhan,adana_ceyhan,2007_adana_ceyhan,158459
2008,adana,ceyhan,adana_ceyhan,2008_adana_ceyhan,158833
2009,adana,ceyhan,adana_ceyhan,2009_adana_ceyhan,158368
2010,adana,ceyhan,adana_ceyhan,2010_adana_ceyhan,158729
2011,adana,ceyhan,adana_ceyhan,2011_adana_ceyhan,158377
2012,adana,ceyhan,adana_ceyhan,2012_adana_ceyhan,158767
2013,adana,ceyhan,adana_ceyhan,2013_adana_ceyhan,159243
2014,adana,ceyhan,adana_ceyhan,2014_adana_ceyhan,159454
2015,adana,ceyhan,adana_ceyhan,2015_adana_ceyhan,159504
2016,adana,ceyhan,adana_ceyhan,2016_adana_ceyhan,160171
2017,adana,ceyhan,adana_ceyhan,2017_adana_ceyhan,160616
2018,adana,ceyhan,adana_ceyhan,2018_adana_ceyhan,160474
2019,adana,ceyhan,adana_ceyhan,2019_adana_ceyhan,160977
2020,adana,ceyhan,adana_ceyhan,2020_adana_ceyhan,161480
2008,adana,cukurova,adana_cukurova,2008_adana_cukurova,271344
2009,adana,cukurova,adana_cukurova,2009_adana_cukurova,331421
2010,adana,cukurova,adana_cukurova,2010_adana_cukurova,347941
2011,adana,cukurova,adana_cukurova,2011_adana_cukurova,331307
2012,adana,cukurova,adana_cukurova,2012_adana_cukurova,340473
2013,adana,cukurova,adana_cukurova,2013_adana_cukurova,346505
2014,adana,cukurova,adana_cukurova,2014_adana_cukurova,353680
2015,adana,cukurova,adana_cukurova,2015_adana_cukurova,359315
2016,adana,cukurova,adana_cukurova,2016_adana_cukurova,362351
2017,adana,cukurova,adana_cukurova,2017_adana_cukurova,364118
2018,adana,cukurova,adana_cukurova,2018_adana_cukurova,365735
2019,adana,cukurova,adana_cukurova,2019_adana_cukurova,376390
2020,adana,cukurova,adana_cukurova,2020_adana_cukurova,387045
2002,adana,feke,adana_feke,2002_adana_feke,20365
2003,adana,feke,adana_feke,2003_adana_feke,20190
2004,adana,feke,adana_feke,2004_adana_feke,20014
2005,adana,feke,adana_feke,2005_adana_feke,19839
2006,adana,feke,adana_feke,2006_adana_feke,19664
2007,adana,feke,adana_feke,2007_adana_feke,19489
2008,adana,feke,adana_feke,2008_adana_feke,19952
2009,adana,feke,adana_feke,2009_adana_feke,19332
2010,adana,feke,adana_feke,2010_adana_feke,18996
2011,adana,feke,adana_feke,2011_adana_feke,18724
2012,adana,feke,adana_feke,2012_adana_feke,18055
2013,adana,feke,adana_feke,2013_adana_feke,18534
2014,adana,feke,adana_feke,2014_adana_feke,17820
2015,adana,feke,adana_feke,2015_adana_feke,17214
2016,adana,feke,adana_feke,2016_adana_feke,17033
2017,adana,feke,adana_feke,2017_adana_feke,16572
2018,adana,feke,adana_feke,2018_adana_feke,17555
