year,province,district,population,pd,pdy,turnout_rate,akp,chp,mhp,hdp,sp,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon,try_pc,usd_pc,hou_pc
2002,adana,aladag,21302,adana_aladag,adana_aladag_2002,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,adana,aladag,20543,adana_aladag,adana_aladag_2003,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,adana,aladag,19783,adana_aladag,adana_aladag_2004,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,adana,aladag,19024,adana_aladag,adana_aladag_2005,75.85,26.68,12.76,10.36,0.63,0.94,10650223.549488055,9349859.176029963,10650223.549488055,9349859.176029963,308,1,0,0,0,0,0,0,0,0,0,0,0,10650223.549488055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9349859.176029963,0,0,0,0,0,0,559.8309266972275,491.47703826902665,0.016190075693860388
2006,adana,aladag,18265,adana_aladag,adana_aladag_2006,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adana,aladag,17506,adana_aladag,adana_aladag_2007,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adana,aladag,18249,adana_aladag,adana_aladag_2008,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,adana,aladag,17494,adana_aladag,adana_aladag_2009,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,adana,aladag,17169,adana_aladag,adana_aladag_2010,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,adana,aladag,17074,adana_aladag,adana_aladag_2011,88.9,53.3,15.8,24.2,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
