province,year,registered_voters,attended_voters,valid_votes,emep,dsp,anap,btp,akp,bbp,ip,tkp,dyp,atp,millet_partisi,chp,genc_parti,ytp,shp,sp,dp,mhp,independent,anavatan,ldp,dtp,hak_par,millet,odp,hyp,huda_par,turk_parti,hkp,yurt_p,bdp,hdp,hepar,vatan_partisi,iyi_parti
adana,2004,715938,484729,461381,NA,4248,NA,939,183376,1758,785,718,58885,1096,589,83119,14863,886,55537,9877,NA,43178,1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ankara,2004,2269442,1703844,1636633,NA,14905,5986,3897,901001,8379,4313,2775,32376,NA,1257,20663,26477,NA,341231,11205,NA,74815,1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
antalya,2004,413294,278196,268678,NA,1961,695,364,92419,724,354,421,69891,NA,513,70119,4011,NA,10273,1348,NA,15201,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bursa,2004,820333,598305,572398,NA,13012,6019,2379,30796,2725,NA,1062,68146,1089,774,98986,17641,NA,953,22058,NA,20171,846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diyarbakir,2004,272935,158006,152493,NA,533,645,349,53816,775,178,208,2299,NA,NA,1332,511,NA,88907,1468,NA,1155,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
erzurum,2004,189595,114181,11027,NA,240,190,212,67463,928,75,118,2033,NA,NA,1702,755,NA,NA,3914,NA,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eskisehir,2004,363459,293856,283431,375,126854,965,456,117205,1004,385,296,23719,NA,NA,NA,3446,NA,NA,2223,NA,6128,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gaziantep,2004,479412,325245,309061,NA,117,580,1088,177529,1806,683,668,1985,640,611,103342,2315,NA,NA,10839,NA,5391,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
istanbul,2004,6440606,4400637,4231487,NA,57957,51979,13312,1917577,2056,7919,8199,20641,8364,NA,1223856,14512,8818,15384,228615,NA,173274,5687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
izmir,2004,1668368,1239915,1192541,NA,11527,10939,2323,388336,NA,2777,204,32708,NA,2134,562561,71671,NA,49382,6516,NA,48535,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kayseri,2004,353715,238431,232235,765,1174,NA,894,163141,3953,438,248,6547,NA,329,2158,2607,600,NA,8125,NA,21259,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kocaeli,2004,157106,116746,112289,NA,796,378,381,57295,243,NA,170,4554,NA,NA,36176,1634,363,2325,5186,NA,2613,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
konya,2004,441115,345146,334946,NA,624,1108,684,207721,1602,336,287,2076,NA,NA,7676,1017,NA,2381,88463,NA,19975,996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mersin,2004,34044,242129,231563,NA,920,462,289,46209,NA,368,224,2338,NA,305,7883,3421,NA,52189,1357,NA,43033,1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sakarya,2004,239466,181507,175701,NA,883,1195,504,65847,570,191,225,40684,NA,NA,10942,19541,NA,1528,1415,NA,18589,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
samsun,2004,24025,17183,163763,NA,705,NA,416,75741,788,NA,306,10975,NA,NA,53531,2098,NA,2064,767,NA,9469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,2009,1019592,835470,802522,0,9670,NA,1546,237206,6507,0,786,NA,NA,NA,209876,NA,NA,NA,12641,4964,238706,683,2023,490,74421,1130,930,0,943,NA,NA,NA,NA,NA,NA,NA,NA,NA
ankara,2009,2979744,2533176,2440455,0,0,NA,6001,940230,0,0,2270,NA,NA,NA,763879,NA,NA,NA,29878,6877,667871,1200,6174,1233,11353,0,3489,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
antalya,2009,653936,539782,524052,0,2220,NA,1149,176331,0,0,710,NA,NA,NA,214325,NA,NA,NA,9301,4900,92287,206,1421,296,19867,0,0,1039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bursa,2009,1331645,1122453,1074707,0,13192,NA,5895,506825,12155,0,1974,NA,NA,NA,289750,NA,NA,NA,32298,66083,132652,6028,6980,875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
diyarbakir,2009,450963,360973,349230,0,841,NA,668,111134,0,394,342,NA,NA,NA,2011,NA,NA,NA,2038,1752,962,0,0,0,227472,1616,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
erzurum,2009,226930,183322,178263,0,321,NA,434,101497,0,0,184,NA,NA,NA,1985,NA,NA,NA,10322,905,60465,0,0,0,2150,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
eskisehir,2009,460672,392825,378540,0,195035,NA,463,140478,0,0,448,NA,NA,NA,10598,NA,NA,NA,6153,3957,21408,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
gaziantep,2009,729349,594367,569897,0,2050,NA,1577,304014,7533,0,610,NA,NA,NA,172101,NA,NA,NA,18875,1767,28612,490,0,0,32268,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
istanbul,2009,8805063,7199083,6946435,0,90399,NA,17071,3105555,79401,0,7709,NA,NA,NA,2568710,NA,NA,NA,337014,33089,348269,5541,21960,3025,314229,9502,4961,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
izmir,2009,2422480,2043178,1972359,0,30659,NA,5992,599395,0,0,5483,NA,NA,NA,1107562,NA,NA,NA,18428,14169,138056,38867,6569,1420,0,0,0,0,5759,NA,NA,NA,NA,NA,NA,NA,NA,NA
kayseri,2009,581273,494668,477233,801,3496,NA,2979,291333,0,0,681,NA,NA,NA,40862,NA,NA,NA,21352,4509,107637,272,2018,392,0,0,901,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
kocaeli,2009,1025094,891735,857940,0,5641,NA,1106,407170,8034,0,1471,NA,NA,NA,272389,NA,NA,NA,73952,18354,55515,0,0,0,14308,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
konya,2009,643648,537776,521199,0,4043,NA,1923,356570,0,0,447,NA,NA,NA,16687,NA,NA,NA,77240,1664,56796,0,0,191,4560,0,604,0,474,NA,NA,NA,NA,NA,NA,NA,NA,NA
mersin,2009,552367,456339,439265,0,16128,NA,748,92715,0,0,562,NA,NA,NA,135632,NA,NA,NA,2501,1107,108775,376,0,0,79483,718,520,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
sakarya,2009,417592,362515,351875,0,1378,NA,873,157626,2586,0,392,NA,NA,NA,26961,NA,NA,NA,25337,5608,129313,349,1213,239,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
samsun,2009,376980,313710,299805,0,6801,NA,894,144174,0,0,743,NA,NA,NA,63548,NA,NA,NA,11692,9645,61703,248,0,357,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
adana,2014,1457671,1287762,1236294,NA,2050,NA,1773,394481,5672,1703,0,0,NA,NA,306747,NA,NA,NA,12875,0,414284,2131,NA,338,NA,842,1835,NA,NA,0,0,734,0,0,90829,0,NA,NA
ankara,2014,3609048,3286145,3162112,NA,1900,NA,3340,1417212,41886,0,0,1266,NA,NA,1385576,NA,NA,NA,15224,3304,245765,3837,NA,405,NA,1829,955,NA,NA,0,1129,1652,5010,0,27620,4202,NA,NA
antalya,2014,1514939,1362453,1308435,NA,2879,NA,1645,476485,7047,0,0,1153,NA,NA,453164,NA,NA,NA,6906,3403,318508,611,NA,203,NA,1095,691,NA,NA,0,744,1046,0,0,30216,2639,NA,NA
aydin,2014,753064,684556,651427,NA,2842,NA,751,189921,2762,1096,0,846,NA,NA,285281,NA,NA,NA,2433,1930,140362,0,NA,202,NA,701,304,NA,NA,0,0,638,0,0,20275,1083,NA,NA
balikesir,2014,886591,809897,775541,NA,2663,NA,889,308267,3928,0,0,1234,NA,NA,196270,NA,NA,NA,8169,0,245291,0,NA,0,NA,607,957,NA,NA,0,0,1015,0,0,6251,0,NA,NA
bursa,2014,1982873,1799299,1721849,NA,2873,NA,2868,852745,9447,2172,1006,3754,NA,NA,494890,NA,NA,NA,35665,8796,264358,1151,NA,407,NA,1212,1114,NA,NA,0,1467,1697,3571,0,28777,3879,NA,NA
denizli,2014,698884,647355,613195,NA,653,NA,632,277178,5450,968,255,1301,NA,NA,237751,NA,NA,NA,2870,3999,72638,813,NA,168,NA,490,375,NA,NA,0,634,616,0,0,6404,0,NA,NA
diyarbakir,2014,924677,760516,720619,NA,467,NA,5789,252065,7099,506,0,405,NA,NA,8610,NA,NA,NA,6593,0,4677,313,NA,0,NA,3188,0,NA,NA,33256,503,0,0,397148,0,0,NA,NA
erzurum,2014,483198,416732,402555,NA,0,NA,864,236886,3644,214,0,308,NA,NA,6297,NA,NA,NA,9331,1291,116494,1108,NA,0,NA,529,0,NA,NA,0,0,493,0,25096,0,0,NA,NA
eskisehir,2014,602309,546580,524710,NA,2073,NA,513,204906,6697,0,0,641,NA,NA,237414,NA,NA,NA,4638,2985,58746,425,NA,143,NA,335,374,NA,NA,0,0,397,0,0,3493,930,NA,NA
gaziantep,2014,1092935,935600,898658,NA,879,NA,2569,490398,9612,0,0,2130,NA,NA,192986,NA,NA,NA,25266,7807,106881,1192,NA,0,NA,1235,720,NA,NA,0,0,1072,0,55911,0,0,NA,NA
hatay,2014,968877,864537,839505,NA,587,NA,878,339411,2334,0,0,319,NA,NA,344301,NA,NA,NA,7012,0,129400,513,NA,0,NA,434,865,NA,NA,0,0,635,0,0,11194,1622,NA,NA
istanbul,2014,10002256,8941326,8553814,NA,7221,NA,10717,4101906,47514,15275,7524,2344,NA,NA,3428454,NA,NA,NA,122950,5604,339785,3921,NA,1430,NA,7371,2311,NA,NA,0,0,4352,16614,0,414290,14231,NA,NA
izmir,2014,3032175,2740602,2637550,NA,13979,NA,2951,947516,12735,10755,2246,2247,NA,NA,1308134,NA,NA,NA,13813,4559,210272,1814,NA,549,NA,2140,940,NA,NA,0,2160,2407,3204,0,88797,6332,NA,NA
kahramanmaras,2014,685013,617006,594803,NA,0,NA,762,349891,6860,395,0,286,NA,NA,37573,NA,NA,NA,7441,1241,181180,0,NA,0,NA,498,294,NA,NA,0,0,642,0,0,7740,0,NA,NA
