no,year_province_district,province_district,province,district,size_liras,size_dollars,houses,category,year,month,completion,project_name,firm
5,2003_adiyaman_golbasi,adiyaman_golbasi,adiyaman,golbasi,3489000,2572813.023,128,idare_konut,2003,,%100,adiyaman golbasi 128 adet konut insaati,ozuyar insTicLtdsti
6,2003_adiyaman_kahta,adiyaman_kahta,adiyaman,kahta,6489790,4785616.575,192,idare_konut,2003,,%100,adiyaman kahta 192 adet konut insaati,su_gen insaat san Ve TicLtdsti
7,2003_agri_merkez,agri_merkez,agri,merkez,6700000,4940626.9,224,idare_konut,2003,,%100,agri merkez sucatagi,mertkan inssanVe TicLtdsti
8,2003_aksaray_merkez,aksaray_merkez,aksaray,merkez,10827000,7983905.589,360,idare_konut,2003,,%100,aksaray merkez Zafer mah 2 etap 360 konut insaat isi,eras insTurzsanVe Ticas
29,2003_aksaray_ortakoy,aksaray_ortakoy,aksaray,ortakoy,5464400,4029486.811,144,idare_konut,2003,,%100,aksaray ortakoy,gencer inssanVe TicLtdsti
41,2003_amasya_gumushacikoy,amasya_gumushacikoy,amasya,gumushacikoy,24214000,17855573.1,112,idare_konut,2003,,%100,amasya gumushacikoy 112 konut,sec yapi ins enj Tur Ve Tic Ltd sti
1,2003_ankara_cankaya,ankara_cankaya,ankara,cankaya,3169557,2337253.519,,restorasyon,2003,,%100,ankara Valilik binasi Resterasyon (ikmal insaati),pusat mim muh mus Taah Tic Ltd sti &amp; nazif karacan ins Taah Tic prj is ortakligi
44,2003_ankara_cankaya,ankara_cankaya,ankara,cankaya,2678000,1974775.946,24,idare_konut,2003,,%100,ankara Lodumlu gaziler engelli konutu,soylu dek ins TaahhayvsanTicLtdsti
2,2003_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,9472000,6984719.104,168,gelir_paylasimli,2003,,%100,ankara eryaman 7 etap 168 adet konut,intim insTicmusLtdsti
9,2003_ankara_mamak,ankara_mamak,ankara,mamak,16115448,11883644.16,620,idare_konut,2003,,%100,ankara mamak (ilkogretim24),Uransan dis Tic Taah yatas
10,2003_ardahan_gole,ardahan_gole,ardahan,gole,2775000,2046304.425,96,idare_konut,2003,,%100,ardahan gole Fevzi cakmak,gul hasan ai insTicLtdsti
