year,month,province,district,project_name,firm,category,order,completion,liras,houses
2005,7,adana,seyhan,adana seyhan,ekinciler ve ort. ins. ve tic. a.s. &amp; dag yapi ins. teks. san.ve tic. ltd. sti. is ortakligi,alt_gelir,18,100,38035000,908
2006,3,adana,kozan,"adana  kozan 864 konut + ticaret merkezi, cami, ilkogretim(24)",atli ins.san.ve tic.a.s ve biat ins.san.tic. ve san.a.s.is ortakligi,alt_gelir,29,100,30733125,864
2006,5,adana,yuregir,adana merkez yuregir 168 konut (alt gelir),aybu ins.san.ve tic.ltd.sti.,alt_gelir,32,100,5263000,168
2007,5,adana,seyhan,adana seyhan sarihular (alt gelir),ozuyar ins.tic.ltd.sti,alt_gelir,49,100,37779000,860
2009,11,adana,yuregir,"adana yuregir akkuyu mevkii 1. bolge 752 adet konut ve 1 adet sosyal tesis insaati ile adaici, genel altyapi ve cevre duzenlemesi yapim isi",abdurrahman sirin ins. san. tic. ltd. sti.,alt_gelir,66,100,19756000,752
2005,9,adana,yuregir,"adana kargakekec 2. bolge ilkogretim 24, saglik ocagi, cami, sadirvan, ticaret merkezi (alt gelir grubu)",ozekip ins.san.ve tic. ltd. sti. &amp; hedef ins. tic. ve san. ltd. sti. is ortakligi,alt_gelir,82,99,19982000,588
2005,10,adana,yuregir,"adana merkez yuregir aksantas + (ticaret, lise24, cami)",yavuzlar nak.tur.ins.teks.san.ve tic.a.s.,alt_gelir,83,91,37946000,888
2005,11,adana,seyhan,"adana seyhan sosyal donati (ilkogretim-32, ticaret merkezi, cami, sadirvan)",ipek petrol urn.ins.turz.nak.tic.ve san.ltd.sti.,altyapi_sosyal,61,100,3599000,
2006,5,adana,yuregir,adana yuregir koprulu mah. 988 konut ve saat kulesi,oz-kar ins. tic. ve san. a.s.,altyapi_sosyal,73,100,45750675,988
2006,12,adana,seyhan,"adana seyhan sarihular sosyal donati, ilkogretim(32), lise(32), cami, sadirvan, 3 adet bufe, spor salonu, ticaret merkezi, + shcek sevgi evleri, karaisali 96 konut",ozuyar ins.tic.ltd.sti,altyapi_sosyal,87,100,22750000,96
2007,6,adana,yuregir,adana 112 acil servis binasi,gursel selvi ins.,altyapi_sosyal,100,100,694990,
2009,8,adana,yuregir,"adana merkez yuregir - dsi sosyal donati ilkogretim-32, lise-32, spor salonu, saglik ocagi, ticaret merkezi, cami-sadirvan, kutuphane, 2 bekci kulubesi",acar kardesler - osman acar,altyapi_sosyal,208,100,10550848,
2010,5,adana,karatas,adana karatas msb 16 adet hait insaatlari ile altyapi ve cevre duzenlemesi insaati isi,ozgurtas ins.san. tic.ltd.sti.,altyapi_sosyal,271,100,1813500,
2011,1,adana,imamoglu,"adana imamoglu saygecitte 1 ad. 24 derslikli lise, yuregir cumhuriyette 1 ad. 32 derslikli lise, seyhan kurtulusta 1 ad. 24 derslikli lise, yuregir karsiyakada 1 ad. 32 derslikli lise, karaisali karapinarda 1 ad. 16 derslikli lise ve 1 ad. 200 kisilik pansiyon",osman acar ins. gida ener.san.ve tic.ltd.sti.,altyapi_sosyal,303,100,17848000,
2011,7,adana,karaisali,adana karaisali 25 yatakli devlet hastanesi,umut taah. ins. pet.tur. san.tic. ltd. sti. &amp; kaydemir muh. ins. tem. tur. san.tic. ltd. sti is ort.,altyapi_sosyal,336,100,4774000,
2011,10,adana,seyhan,adana 400 yatakli egitim ve arastirma hastanesi revize acil servisi  ile altyapi ve cevre duzenlemesi insaati isi,ozver ins. tic. san. a. s.,altyapi_sosyal,361,100,1380000,
2012,3,adana,feke,adana ili feke ilcesi 20 yatakli entegre hastanesi ile altyapi ve cevre duzenlemesi insaati isi,ilintas ins. tur. gida nak. oto. deri  pet. san. ve tic. ltd. sti.,altyapi_sosyal,390,100,2729160,
2013,11,adana,saricam,"adana ili saricam ilcesi 1000 kisilik yurt binalari , sosyal tesis insaati ile altyapi ve cevre duzenlemesi isi",leda yapi ve prj. taah. ltd. sti.  &amp; ve-du ins. taah. tic. ltd. sti.  is ortakligi,altyapi_sosyal,536,100,27822000,
2013,11,adana,kozan,adana ili kozan ilcesi 500 kisilik yurt insaati ile altyapi ve cevre duzenlemesi isi,gunestekin ins.turz ve otm. tic. ltd. sti.,altyapi_sosyal,537,100,12772000,
2014,1,adana,cukurova,adana ili cukurova ilcesi 200 yatakli devlet hastanesi insaati ile altyapi ve cevre duzenlemesi isi,can ins. san. ve tic. a.s.,altyapi_sosyal,558,100,59750000,
2014,4,adana,saimbeyli,adana ili saimbeyli ilcesi 10 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,ali celik mut.,altyapi_sosyal,581,100,5387950,
2015,7,adana,kozan,adana kozan 200 yatakli yeni devlet hastanesi insaati isi (ikmâl insaati),sardem mim. ins. dekorasyon tek. san. tic. ltd. sti. &amp; tetis yapi ins. san. ve tic. a.s. is ortakligi,altyapi_sosyal,603,100,6980000,
2005,,adana,seyhan,"adana seyhan sakirpasa mah 1 adet 32 derslikli lise, adana seyhan akkapi mah 1 adet 32 derslikli lise ve sanliurfa merkez ilcesi suleymaniye mah 16 derslikli ilkogretim okulu insaatlari ile altyapi ve cevre duzenlemesi  isi (ikmâl insaati)		
",omur grup ins.tem. hiz. gida dogalgaz yemek hiz. san. tic. ltd. sti. &amp; hazar-tek ins. taah. metal ve yapi proje san. tic. ltd. sti. is ortakligi,altyapi_sosyal,620,96,1066666,
