pdym,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
adana_aladag_2005_8,10650223.549488055,9349859.176029963,10650223.549488055,9349859.176029963,308,1,0,0,0,0,0,0,0,0,0,0,0,10650223.549488055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9349859.176029963,0,0,0,0,0,0
adana_ceyhan_2012_4,19224313.573299702,22040600.66740823,19224313.573299702,22040600.66740823,NA,1,0,0,0,0,0,0,19224313.573299702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22040600.66740823,0,0,0,0,0,0,0,0,0,0,0
adana_ceyhan_2016_4,19723808.392972153,18948150.708606984,19723808.392972153,18948150.708606984,499,1,0,0,0,0,0,0,0,0,0,0,0,19723808.392972153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18948150.708606984,0,0,0,0,0,0
adana_cukurova_2014_1,25416122.54186748,26962996.389891695,25416122.54186748,26962996.389891695,NA,1,0,0,0,0,0,0,25416122.54186748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26962996.389891695,0,0,0,0,0,0,0,0,0,0,0
adana_cukurova_2019_4,6147576.771940038,4316076.29427793,6147576.771940038,4316076.29427793,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6147576.771940038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4316076.29427793,0,0,0,0
adana_feke_2012_3,1344281.3515909761,1524670.3910614525,1344281.3515909761,1524670.3910614525,NA,1,0,0,0,0,0,0,1344281.3515909761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524670.3910614525,0,0,0,0,0,0,0,0,0,0,0
adana_imamoglu_2011_1,9713567.319571357,11368152.866242038,9713567.319571357,11368152.866242038,NA,1,0,0,0,0,0,0,9713567.319571357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11368152.866242038,0,0,0,0,0,0,0,0,0,0,0
adana_karaisali_2007_5,2627377.7052325625,2751124.4377811095,2627377.7052325625,2751124.4377811095,96,1,2627377.7052325625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2751124.4377811095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adana_karaisali_2008_11,4674108.840230121,4891715.590345727,4674108.840230121,4891715.590345727,NA,1,0,0,0,0,0,0,4674108.840230121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891715.590345727,0,0,0,0,0,0,0,0,0,0,0
adana_karaisali_2009_12,1117334.9056603773,1279540.8507765024,1117334.9056603773,1279540.8507765024,NA,1,0,0,0,0,0,0,1117334.9056603773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279540.8507765024,0,0,0,0,0,0,0,0,0,0,0
